Image,URL,Text,Network,Date,Impressions,Interactions,Engagement
"https://media.licdn.com/dms/image/v2/D4E10AQHfnOcBern2IA/videocover-high/B4EZzYHkqbIUBI-/0/1773152392465?e=1773802800&v=beta&t=Yr-PAX2K7wTfDM3rb2P3u-SOwBQKWYQAoeZXp03sTbE","https://www.linkedin.com/feed/update/urn:li:ugcPost:7437140248456900609","Hallazgos!!

Givore está disponible en la tienda Play:
https://lnkd.in/eGehxvjK

y en web:
app.givore.com/es","linkedin",2026-03-10 15:20,,"1",
"https://media.licdn.com/dms/image/v2/D4E10AQF4rq0Sug-NAw/ads-video-thumbnail_720_1280/B4EZynriXMJcAg-/0/1772339740527?e=1773802800&v=beta&t=661RT2VbyY_8FN5emrbYALO4x9QJ9yV1U9s2bC7lCtM","https://www.linkedin.com/feed/update/urn:li:ugcPost:7433731807298138112","Blasco Ibáñez

#shorts #españa #reciclaje #gratis #sostenibilidad #givore #segundavida

Givore está disponible en la tienda Play:
https://lnkd.in/eGehxvjK

y en web:
app.givore.com/es","linkedin",2026-03-01 05:36,,"1",
"https://media.licdn.com/dms/image/v2/D4E10AQEh2ZGp4uNVCw/ads-video-thumbnail_720_1280/B4EZyigGQhKcAg-/0/1772252851466?e=1773802800&v=beta&t=zKiJoVzVhjJcPC0rZi5GOJRXuOKU4-GOcKQCqngpyGU","https://www.linkedin.com/feed/update/urn:li:ugcPost:7433367333030498304","Economía circular espontánea: lo que está pasando en España sin que nadie lo planificara

Cada día, miles de objetos útiles acaban en contenedores cuando podrían tener una segunda vida. Pero algo está cambiando. De forma orgánica, ciudadanos de toda España están empezando a compartir lo que les sobra antes de descartarlo.

En Givore hemos creado la infraestructura digital para que eso ocurra de forma eficiente. Nuestra plataforma de reciclaje social conecta a quienes tienen algo que ofrecer con quienes lo necesitan, en su misma zona. Sin transacciones. Sin intermediarios. Solo proximidad y voluntad de compartir.

Lo interesante no es la tecnología. Es el comportamiento: personas que no se conocen, conectando a través del simple acto de dar. Y está creciendo.

¿Creéis que este tipo de economía circular espontánea puede escalar sin perder su esencia comunitaria?

#EconomíaCircular #Sostenibilidad #Innovación #España #ImpactoSocial

Givore está disponible en la tienda Play:
https://lnkd.in/eGehxvjK

y en web:
app.givore.com/es","linkedin",2026-02-28 05:27,"2","1","50"
"https://media.licdn.com/dms/image/v2/D4E10AQHdI0g5Q2vwGg/ads-video-thumbnail_720_1280/B4EZydbcuSI4Ag-/0/1772167744687?e=1773802800&v=beta&t=-NsqdfWUrXNPBY0cgskMx4cbwafm_hZqH_NgwdG99T4","https://www.linkedin.com/feed/update/urn:li:ugcPost:7433010347160219650","El reciclaje social empieza con un solo gesto — y Valencia lo demuestra

La economía circular urbana no necesita grandes infraestructuras para arrancar. En Valencia, un modelo sencillo está demostrando que conectar a quien tiene con quien necesita es más eficaz de lo que parece.

En Givore, nuestra plataforma de reciclaje social, vecinos publican lo que ya no usan y otros lo encuentran. Sin transacciones económicas. Sin intermediarios. Una lavadora en buen estado en Mestalla es un ejemplo perfecto: algo que puede cambiarle el mes a alguien.

El proceso de construcción de comunidad es lento pero consistente. Cada semana se suman más usuarios. Cada hallazgo publicado es una conexión nueva entre personas que no se conocían.

Para las ciudades que están empezando, el mensaje es claro: la masa crítica llega cuando alguien da el primer paso. La paciencia y la constancia construyen comunidades que funcionan.

¿Cómo creéis que la tecnología puede acelerar la transición hacia una economía más circular en vuestras ciudades?

#EconomíaCircular #Sostenibilidad #Innovación #Valencia #ComunidadLocal

Givore está disponible en la tienda Play:
https://lnkd.in/eGehxvjK

y en web:
app.givore.com/es","linkedin",2026-02-27 05:49,"5","1","20"
"https://media.licdn.com/dms/image/v2/D4E10AQHFZSAWeLWEtg/ads-video-thumbnail_720_1280/B4EZyYMW9YGgAg-/0/1772079905484?e=1773802800&v=beta&t=x8xV_CIZGVGElMqkp8ZusvO80j7d-n2Q9neSw2NDHR0","https://www.linkedin.com/feed/update/urn:li:ugcPost:7432641911141683200","Encontramos esta tabla de planchar abandonada en la acera y, aunque tenía una pequeña imperfección debajo, estaba demasiado bien para dejarla ahí. Con un poco de paciencia, un trapo y las herramientas adecuadas, conseguimos enderezarla golpe a golpe hasta dejarla prácticamente perfecta. Solo necesitó cinco minutos de cariño para volver a la vida.
Como nosotros no la necesitamos, hemos decidido subirla a Givore para regalarla a alguien que sí le dé uso. Porque antes de tirar algo, piénsalo dos veces: lo que para ti es basura, para otra persona puede ser un tesoro. ¡Mantén los ojos abiertos en tu próximo paseo! ♻️

#shorts #givore #reciclaje #gratis #sostenibilidad #iOS #app

Givore está disponible en la tienda Play:
https://lnkd.in/eGehxvjK

y en web:
app.givore.com/es","linkedin",2026-02-26 05:25,,"1",
"https://media.licdn.com/dms/image/v2/D4E10AQGUzUim0bRlbg/videocover-high/B4EZyTFn69IMBE-/0/1771994254814?e=1773802800&v=beta&t=koaQEwAL4snvjnRH4-qeseCVBaPblUaDqOzelLxi2ws","https://www.linkedin.com/feed/update/urn:li:ugcPost:7432282662364483584","Givore 1.3: tecnologia al servicio de la economia circular

En Espana se desechan miles de objetos en buen estado cada dia. El problema no es que la gente no quiera reciclar, sino que falta una conexion eficiente entre quien tiene algo que ya no usa y quien lo necesita.

Givore aborda ese reto. Nuestra plataforma de reciclaje social permite a los usuarios compartir objetos que ya no necesitan para que otros los encuentren. Sin transacciones economicas. Sin intermediarios. El resultado: menos residuos, mas comunidad y un ahorro real para los usuarios.

Hoy lanzamos la version 1.3 con mejoras significativas en rendimiento, estabilidad y nuevas funcionalidades basadas en el feedback de nuestra comunidad. El proximo paso: expansion a iOS para llegar a mas usuarios.

Si os interesa la interseccion entre tecnologia, sostenibilidad y economia circular, seguid atentos. Hay mucho por venir.

#EconomiaCircular #Sostenibilidad #Innovacion #Startups #Givore

Givore está disponible en la tienda Play:
https://lnkd.in/eGehxvjK

y en web:
app.givore.com/es","linkedin",2026-02-25 05:37,"1","1","100"
"https://media.licdn.com/dms/image/v2/D4E10AQFubeF0DFfcBQ/videocover-high/B4EZx5Z3uGKIBI-/0/1771563354391?e=1773802800&v=beta&t=Y7-ZvNR7HWbBYg7usDkYffqTUZqvqjs9DaBoY415528","https://www.linkedin.com/feed/update/urn:li:ugcPost:7430475337110687744","Seis barrios en bici... y una trona CASI NUEVA tirada en la calle 🤯🚴‍♂️

Hoy me he recorrido seis barrios de Valencia en bici y no me lo podía creer: muebles, estanterías, y hasta una trona de bebé casi nueva... ¡todo tirado en la calle! Es que te da pena pensar que esto iba a acabar en la basura.
El problema es que cada día, en cada barrio, la gente tira cosas que están perfectamente bien. Y mientras tanto, hay familias, estudiantes, padres primerizos que estarían encantados de darles una segunda vida. Solo falta conectarlos. Por eso uso Givore: subo lo que encuentro, la ubicación se pone sola, y en menos de veinte segundos cualquiera cerca puede verlo. Eso es reciclaje social.
¿Cuál es la cosa más loca que habéis encontrado tirada en la calle? ¡Contadme en los comentarios! Y recordad: antes de tirar, pensad si alguien más lo puede aprovechar.

#Givore #ReciclajeSocial #SegundaVida #Valencia #ValenciaEnBici

Givore está disponible en la tienda Play y en web

https://lnkd.in/eGehxvjK

app.givore.com/es

track: Henny KG - Ambience 3
source: soundcloud.com/henny-kg
license: CC0","linkedin",2026-02-20 05:56,"2","1","50"
"https://media.licdn.com/dms/image/v2/D4E10AQEtUwI9Op35DQ/videocover-high/B4EZx0IB.1J8BE-/0/1771474792187?e=1773802800&v=beta&t=qc_NbQ-5uLlDdfNv1gWVIEotuoEkYoZZlo9-5N9waS8","https://www.linkedin.com/feed/update/urn:li:ugcPost:7430103877842227200","Cada semana a la intemperie reduce un 15-20% la vida util de un mueble abandonado

En La Petxina, Valencia, dos sillones ilustran un problema que afecta a todas las ciudades: el deterioro acelerado de objetos utiles por falta de un canal de redistribucion eficiente. Uno, irreparable tras semanas expuesto al clima. El otro, aun en condiciones de uso con una simple limpieza.

La diferencia entre rescatar un objeto y perderlo es cuestion de tiempo y conexion. Givore aborda este problema con una plataforma de reciclaje social que permite publicar hallazgos callejeros en segundos, haciendolos visibles para vecinos cercanos que los necesitan.

El modelo es simple: publicacion geolocaliada, sin transaccion economica, con impacto directo en la reduccion de residuos urbanos. Economia circular aplicada a nivel de barrio.

¿Como estamos abordando el problema de los objetos utiles que acaban como residuo en nuestras ciudades?

#EconomiaCircular #Sostenibilidad #InnovacionSocial #Valencia #UrbanWaste

Givore está disponible en la tienda Play:
https://lnkd.in/eGehxvjK

y en web:
app.givore.com/es","linkedin",2026-02-19 05:20,"3","1","33.33"
"https://media.licdn.com/dms/image/v2/D4E10AQEZfTSeD5Qv5Q/videocover-high/B4EZxvC3_MH0BE-/0/1771389555820?e=1773802800&v=beta&t=PV4y6TAxI-znGfO4fIQ2uCpI7Q-QZSOfNMEyWJq2pLY","https://www.linkedin.com/feed/update/urn:li:ugcPost:7429746364697337858","El deterioro urbano de objetos reutilizables: un problema con solución tecnológica

Cada día, objetos en perfecto estado acaban en las calles de las ciudades españolas. El problema no es solo el desperdicio, sino el tiempo: cuanto más permanecen a la intemperie, más se deterioran. Un somier usable hoy puede ser chatarra en dos semanas. Una silla funcional se convierte en residuo tras días de lluvia y sol.

En Givore abordamos este problema con una plataforma de reciclaje social que reduce el tiempo entre el momento en que un objeto queda disponible y el momento en que alguien lo aprovecha. El proceso es inmediato: foto, descripción y publicación. Los vecinos cercanos lo ven al instante.

El caso de hoy en Valencia lo ilustra: un somier recién dejado todavía era aprovechable. Una silla que llevaba semanas ya no. La diferencia es la velocidad de conexión entre quien tiene y quien necesita.

¿Cómo podemos acortar ese tiempo de exposición urbana para maximizar el ciclo de vida útil de los objetos?

#EconomíaCircular #Sostenibilidad #Innovación #Valencia #TechForGood

Givore está disponible en la tienda Play:
https://lnkd.in/eGehxvjK

y en web:
app.givore.com/es","linkedin",2026-02-18 05:39,"4","1","25"
"https://media.licdn.com/dms/image/v2/D4E10AQHHgSvXxH_mYg/ads-video-thumbnail_720_1280/B4EZxp3bGGKIAk-/0/1771302666054?e=1773802800&v=beta&t=rDx4W2NZuF_keqtz2YFpKqz3VOeaMbsxivxb5E9G6ls","https://www.linkedin.com/feed/update/urn:li:ugcPost:7429381929872875520","El problema no es el objeto. Es la desconexion entre quien lo deja y quien lo necesita.

Hoy, en pleno centro historico de Valencia, me he encontrado una silla de oficina y un carrito de compras en buen estado. Objetos funcionales, con anos de vida util por delante, sin nadie que supiera que estaban ahi.

En Givore abordamos este problema con una plataforma de reciclaje social. El proceso es inmediato: una foto, un titulo, publicar. En menos de un minuto, cualquier vecino cercano puede ver el objeto y darle una segunda vida. Sin transacciones economicas. Solo conexion entre personas.

La economia circular no siempre requiere infraestructura compleja. A veces basta con un puente digital entre vecinos que no se conocen. Cada objeto que se comparte es un objeto menos en el vertedero y una conexion mas en la comunidad.

¿Como creeis que la tecnologia puede escalar este tipo de soluciones hiperlocales?

#EconomiaCircular #Sostenibilidad #Innovacion #Valencia #ImpactoSocial

Givore está disponible en la tienda Play:
https://lnkd.in/eGehxvjK

y en web:
app.givore.com/es","linkedin",2026-02-17 05:31,"4","1","25"
